Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1599793410,192.168.86.90,56498,54.149.94.178,443,6,156,1758,3,3
1599793410,192.168.86.90,56500,54.149.94.178,443,6,104,1004,2,2
1599793411,192.168.86.90,56500,54.149.94.178,443,6,162,299,2,2
1599793411,192.168.86.90,56498,54.149.94.178,443,6,266,1175,4,4
1599793411,192.168.86.90,56494,162.222.42.179,4287,6,11009,416,8,8
1599793411,192.168.86.90,56499,54.149.94.178,443,6,110,52,1,1
1599793412,192.168.86.90,56498,54.149.94.178,443,6,208,3234,4,4
1599793412,192.168.86.90,56494,162.222.42.179,4287,6,41831,1196,29,23
1599793413,192.168.86.90,56498,54.149.94.178,443,6,156,1217,3,3
1599793413,192.168.86.90,56500,54.149.94.178,443,6,104,494,2,2
1599793414,192.168.86.90,56498,54.149.94.178,443,6,432,4864,7,7
1599793414,192.168.86.90,56500,54.149.94.178,443,6,52,247,1,1
1599793414,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793414,192.168.86.90,56494,162.222.42.179,4287,6,6261,260,5,5
1599793415,192.168.86.90,56498,54.149.94.178,443,6,104,1585,2,2
1599793416,192.168.86.88,0,224.0.0.22,0,2,40,0,1,0
1599793416,192.168.86.90,56498,54.149.94.178,443,6,156,2301,3,3
1599793416,192.168.86.90,56499,54.149.94.178,443,6,160,160,2,2
1599793416,192.168.86.90,56500,54.149.94.178,443,6,208,3837,4,4
1599793417,192.168.86.90,56494,162.222.42.179,4287,6,2649,104,2,2
1599793417,192.168.86.90,56500,54.149.94.178,443,6,212,1374,3,4
1599793417,192.168.86.90,56473,74.125.195.189,443,6,52,106,1,1
1599793417,192.168.86.1,53,192.168.86.90,54247,17,89,73,1,1
1599793417,192.168.86.90,56513,216.58.195.67,443,6,584,615,8,7
1599793417,192.168.86.90,56530,172.217.164.106,443,6,761,164,3,3
1599793417,192.168.86.90,56498,54.149.94.178,443,6,52,729,1,1
1599793418,192.168.86.90,56530,172.217.164.106,443,6,1789,1884,11,9
1599793418,192.168.86.90,56513,216.58.195.67,443,6,0,52,0,1
1599793418,192.168.86.90,56531,172.217.164.106,443,6,3619,2767,17,13
1599793418,192.168.86.90,56473,74.125.195.189,443,6,52,483,1,1
1599793418,192.168.86.90,56498,54.149.94.178,443,6,52,773,1,1
1599793419,192.168.86.90,56505,45.57.100.137,443,6,5904,740526,76,496
1599793419,192.168.86.90,56506,45.57.100.137,443,6,2946,378261,38,253
1599793419,192.168.86.90,56504,45.57.100.137,443,6,1698,82129,14,56
